pregunta,categoria,opcion1,opcion2,opcion3,opcion4,opcion5,opcion6,opcion7,opcion8,correctas,explicacion
"Identifique entre las siguientes cuales son una de las Propiedades o características fundamentales que tiene un ""objeto""",Orientación a Objetos,Herencia,Estado,Agregacion,Identidad,Generalizacion,Comportamiento,,,2;4;6,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Actividad de la Ingeniería de requisitos que busca depurar en el borrador del documento los requisitos innecesarios, conflictivos e incompletos o inviables.",Ingeniería de Requisitos,Validacion,Verificacion,Analisis,Educcion,,,,,3,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Actividad de la Ingeniería de requisitos que tiene por objetivo razonar sobre los requisitos obtenidos en la etapa anterior, detectando y resolviendo posibles inconsistencias o conflictos, coordinando los requisitos relacionados entre sí.",Ingeniería de Requisitos,Documentacion,Educcion,Analisis,Especificacion,,,,,3,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
¿Cuándo NO será necesario hacer el modelo del negocio?,Proceso Unificado,El software por construir sera utilizado por una porcion importante de la organizacion,La organizacion ha enfrentado un reciente proceso de reingenieria de negocio,Los flujos de trabajo de la organizacion estan bien documentados,Existen flujos de trabajo completos dentro de la organizacion que no estan documentados,,,,,3,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
En la siguiente imagen,Modelado de Sistemas,Una Clase Interfaz,Un Caso de Uso del Negocio,Una Clase de Control,Una Clase Entridad,,,,,,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
El aspecto del estudio de Factibilidad que se encarga de analizar si los beneficios del sistema compensaran los costos es:,Gestión de Proyectos,Factibilidad economica,Factibilidad de Financiera,Factibilidad tecnica,Factibilidad operativa,,,,,1,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"El aspecto del estudio de Factibilidad que trata de determinar que el sistema servirá a la organización, funcionara y será utilizado una vez implementado es la factibilidad:",Gestión de Proyectos,Tecnica,Operativa,Economica,Financiera,,,,,2,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
El sistema de información transaccional es el de mayor jerarquía en una organización,Sistemas de Información,Verdadero,Falso,,,,,,,2,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Técnica que se puede utilizar con cualquier Stakeholder,Técnicas de Recolección de Datos,Prototipo,Usuario,Entrevista,Brainstorming,,,,,3,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Cuál de las siguientes NO es una regla en la realización de brainstorming.,Técnicas de Recolección de Datos,Se debe generar un gran numero de ideas,Se debe alentar a los participantes a combinar o completar las ideas de otros participantes,Se evitan las ideas mas avanzadas y se impide a los participantes a generar nuevas ideas,Se prohibe la critica de ideas,,,,,3,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cuando en la ERS todos los requisitos reflejan alguna necesidad real, entonces cumplen con el atributo:",Ingeniería de Requisitos,Correcta,Priorizada,No ambigua,Completa,,,,,1,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Dado el siguiente Diagrama de Casos de Uso. El actor A, qué casos de uso puede iniciar",Modelado de Sistemas,"Y,Z,X y W","Y,Z y X",Solo Y y X,"Y,Z y W",,,,,,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Para definir cuanto y como modelar se debe considerar:,Modelado de Sistemas,"No es necesario evaluar o considerar nada, siempre se debe utilizar herramientas sofisticadas y modelar de manera precisa.","No es necesario evaluar o considerar nada, siempre se debe utilizar herramientas simples y modelar minimamente.",La envergadura y/o complejidad del producto o sistema a construir.,La cantidad de personas que conforman el equipo de trabajo.,La experiencia que tiene el jefe de proyecto.,La explotacion que se haga de los modelos.,,,3;6,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Si tiene que responder al primer llamado del gerente de una empresa que lo convoca como consultor para el desarrollo de un software, que tipo de técnica de recolección de datos usaría:",Técnicas de Recolección de Datos,"Entrevista estructurada, y le enviaria con anticipacion las preguntas","Trataria de investigar el objeto del negocio, sus actividades principales y la estructura de la empresa utilizando diversas fuentes como internet, revistas, etc.",Convocaria a los jefes de Area para la realizacion de un Brainstorming,"Entrevista No estructurada, las preguntas y los temas se los desarrollaran conforme la conversacion avance",Elaboraria un cuestionario y se lo enviaria por correo electronico para que lo complete,,,,2,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Dentro de la orientación a objetos, ¿qué termino expresa que los datos de un objeto solo pueden ser manipulados mediante los mensajes y métodos predefinidos en el mismo?",Orientación a Objetos,Reusabilidad,Encapsulamiento,Persistencia,Herencia,,,,,2,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"De qué tipo es el siguiente requisito: ""El sistema deberá implementar las disposiciones de privacidad del paciente como se establece en HStan-03-2006-priv""",Ingeniería de Requisitos,No Funcional Organizacional,No Funcional del Producto,Funcional,No Funcional Externo,,,,,4,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Cual de las siguientes consideraciones NO seria apropiada para caracterizar a un Actor del Negocio,Modelado de Sistemas,Siempre esta asociado con el nombre de un cargo en el organigrama,"Son roles (humanos, software o hardware), no personas con nombres propios.",Se encuentran dentro del ambiente del negocio o campo de accion,En el diagrama de Actividades se representan en calles,,,,,1,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Identifique cuales de las siguientes opciones son ventajas de la Observación del ambiente de trabajo como técnica de recolección:,Técnicas de Recolección de Datos,Son un complemento util ya que algunas veces es dificil explicar claramente con palabras las tareas complejas,Los datos recabados basandose en la observacion pueden ser muy confiables ya que se puede ver exactamente lo que se esta haciendo,Aseguran que el trabajo que se este observando incluya el nivel de dificultad o todo el volumen normal,"Posibilita que la persona se sienta comoda cuando esta siendo vigilada, y entonces se comporta de las misma manera que cuando no esta siendo observada",Dan la seguridad que las tareas siempre seran desempeñadas en la manera en que las observa el analista de sistemas,,,,1;2,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
En el Proceso Unificado de Desarrollo de Software:,Proceso Unificado,"La dimension temporal del proceso se expresa en terminos de actividades, productos intermedios, perfiles de trabajo o roles y flujos de trabajo","La dimension temporal del proceso se expresa en terminos de ciclos, fases, iteraciones e hitos","La dimension estatica del proceso se expresa en terminos de ciclos, fases, iteraciones e hitos","En la dimension estatica, cada ciclo se compone de cuatro fases secuenciales (inicio, elaboracion, construccion y transicion)",,,,,2,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Cuál de la actividad de la Ingeniería de Requisitos que requiere activa participación de Cliente y Usuarios; y además tiene por objetivo asegurar la calidad de los mismos es:,Ingeniería de Requisitos,Validacion,Educcion,Analisis,Verificacion,,,,,1,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Qué objetivos perseguimos cuando a partir de la realidad construimos un MODELO DEL SISTEMA EXISTENTE?,Modelado de Sistemas,Utilizarlo durante la ingenieria de requisitos ya que conducen a los requisitos para el nuevo sistema.,Discutir las propuestas de diseño y documentar el sistema para la implementacion,Utilizarlo como base para discutir sus fortalezas y debilidades,Entenderlo y aclarar lo que hace el sistema existente,Explicar los requisitos propuestos a otros participantes del sistema.,,,,1;3,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Las actividades de XP son:,Metodologías Ágiles,"Codificar, simpleza, escuchar y respeto","Comunicacion, simpleza, retroalimentacion y valentia","Codificar, probar, escuchar y diseñar","Comunicacion, diseñar, escuchar y probar",,,,,3,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Los métodos ágiles son más efectivos cuando:,Metodologías Ágiles,El equipo de desarrollo esta altamente calificado y motivado y esta distribuido geograficamente,"El proyecto es innovador, el cliente esta disponible e involucrado y el equipo esta altamente calificado y motivado",El proyecto es innovador y se tiene un equipo recien formado con niveles de habilidad muy limitadas,"El proyecto es innovador, el cliente solo puede tener una limitada participacion y el equipo esta altamente calificado y motivado",,,,,2,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"En el análisis del Proceso Unificado, con referencia a las Clases de Análisis, cuál de las siguientes afirmaciones es verdadera:",Proceso Unificado,Una clase entidad no puede aparecer en varias realizaciones de Caso de Uso,"Cada clase de interfaz deberia asociarse con al menos un actor, y viceversa",Se debe identificar solo una clase Control de control por cada escenario del Caso de Uso,Se debe identificar solo una clse de Control por cada actor,,,,,2,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Identifique cuál de las siguientes afirmaciones corresponde a la definición de un proyecto de software exitoso,Gestión de Proyectos,Proyectos en los que el producto cumple con los requisitos esperados,"Proyectos concluidos con retraso, por encima del presupuesto y/o con menos de los requisitos esperados.",Son proyectos que se cancelaron o se finalizaron pero el producto nunca se uso,"Proyectos que terminaron en tiempo, presupuesto y cumplieron con los requisitos teniendo en cuenta aspectos como la calidad y la satisfaccion del cliente",,,,,4,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
